--PAIKKOJA
# Edustajiston paikkamäärä.
60
--ARVONTATAPA
tamy
--RENKAAT
# renkaan numero, nimi, tunnus
1, Osakuntien suuri vaalirengas, OSAK
2, Porvarillinen vaalirengas, Porvarit
3, Opiskelijademarit, Demarit
4, HYY:n vihreät - De Gröna vid HUS, Vihreät
5, Ainejärjestöjen Suuri Vaalirengas, ASV
6, Svenska nationer och ämnesföreningar, SNÄF
7, Pykälä-LKS, Pykälä-LKS
8, Peduca, Peduca
9, Kulttuurinystävät, KYSTÄ
10, Keskiryhmien vaalirengas, Keskusta
11, Maatalous-metsäylioppilaiden sitoutumaton vaaliliitto, MMYSLI
12, Akateemiset hyvä oluen ystävät, AHOY
13, Kemistit, Kemistit
14, Vasemmiston vaalirengas, Vas
--LIITOT
# liiton numero, renkaan numero, nimi, lyhenne
1, 1, Pohjalaiset osakunnat, Pohj.os.
2, 1, HO-KSO, HO-KSO
3, 1, Liisankadun osakunnat, LiO
4, 1, ESO-VSO, ESO-VSO
5, 1, SatO-SavO, SatO-SavO
6, 2, Kansalliset ylioppilaat 1, KansY1
7, 2, Kansalliset ylioppilaat 2, KansY2
8, 2, Kansalliset ylioppilaat 3, KansY3
9, 2, Ylioppilaskunnan sitoutumattomat porvarit, YSP
10, 2, Akateeminen liberaaliyhdistys, ALY
11, 3, Opiskelijademarit, OSY
12, 4, HYY:n vihreät - De Dröna vid HUS 1, Vihr1
13, 4, HYY:n vihreät - De Gröna vid HUS 2, Vihr2
14, 5, Limes, Limes
15, 5, Historian opiskelijat - Historiestuderande, Hist.
16, 5, Jumaluusopin opiskelijat, Jumal.op.
17, 5, Humanistit, Hum.
18, 5, Valtsika, Valt.
19, 5, Demokraattiset valtiotieteilijät, DeVa
20, 6, Svenska nationer och ämnesföreningar, SNÄF
21, 7, LKS, LKS
22, 7, Pykälä, Pykälä
23, 8, Peduca, Peduca
24, 9, Kulttuurin ystävät, KYSTÄ
25, 10, Keskustaopiskelijoiden vaaliliitto, Kesk.
26, 10, Kristillisdemokraatit, Kdem
27, 11, Maatalous-metsäylioppilaiden sit. vaaliliitto, MMYSLI
28, 12, Akateemiset hyvän oluen ystävät, AHOY
29, 13, Kemistit, Kemistit
30, 14, Sitoutumaton vasemmisto, Sit.vas.
31, 14, Vasemmisto-opiskelijat, VASO
--EHDOKKAAT
# ehdokkaan numero, liiton numero, nimi
2, 1, Aittoniemi Jussi, 5
3, 1, Hakala Riikka, 3
4, 1, Hiltunen Heikki, 21
5, 1, Hyyppä Aki, 8
6, 1, Itkonen Leena, 5
7, 1, Kangas Marjut, 3
8, 1, Kankaanpää Merja, 5
9, 1, Karjalainen Heli, 1
10, 1, Ketonen Niina, 1
11, 1, Kivipelto Jaana, 1
12, 1, Laturi Panu, 6
13, 1, Maunula Miikka, 5
14, 1, Märijärvi Tiina, 1
15, 1, Palmujoki Jaakko, 1
16, 1, Pennala Esa, 3
17, 1, Peura Pia, 11
18, 1, Piirto Heta, 6
19, 1, Puskala Heikki, 2
20, 1, Puttonen Riikka, 19
21, 1, Rannisto Milja, 1
22, 1, Ruokonen Annamari, 2
23, 1, Rönn Jukka T., 6
24, 1, Siirilä Pekka, 6
25, 1, Tervonen "Nasse", 9
26, 1, Vierikko "Minnis", 15
27, 1, Vuori Timo A., 2
28, 1, Annala Saija, 7
29, 1, Halmetoja Heikki, 8
30, 1, Huotari Harri, 1
31, 1, Huru Marika, 3
32, 1, Iivonen Esa, 26
33, 1, Karinen Jari, 2
34, 1, Kieksi Kimmo, 5
35, 1, Kinnunen Kristiina, 39
36, 1, Korhonen Paula, 4
37, 1, Kupiainen Aki, 2
38, 1, Kärkäs Kaisa, 9
