Ehdokasnumero;Sukunimi;Etunimi;Ehdokasnimi;Vaaliliiton ID;Vaaliliitto
2;Sjöström;Kim;Sjöström, Kim;19;Liberaalinen Vaaliliitto - yksilöllisyyden ja valinnanvapauden edistämiseksi
3;Andersson;Timo Tapio;Andersson, Timo;19;Liberaalinen Vaaliliitto - yksilöllisyyden ja valinnanvapauden edistämiseksi
4;Aapro;Wilma Karoliina;Aapro, Wilma;7;HELP HLKS/LKS
5;Ahonen;Tuuli Johanna;Ahonen, Tuuli;7;HELP HLKS/LKS
6;Arpalahti;Annamari Johanna;Arpalahti, Annamari;7;HELP HLKS/LKS
7;Byman;Minna Saga Christina;Byman, Saga;7;HELP HLKS/LKS
8;Kankaanpää;Jutta Anneli;Kankaanpää, Jutta;7;HELP HLKS/LKS
9;Kettunen;Aarne Sakari;Kettunen, Sakari;7;HELP HLKS/LKS
10;Korkee;Verneri Petter;Korkee, Verneri;7;HELP HLKS/LKS
11;Kääriä;Samuli Severi;Kääriä, Samuli;7;HELP HLKS/LKS
12;Lahtiharju;Arttu Juho Iisakki;Lahtiharju, Arttu;7;HELP HLKS/LKS
13;Lankinen;Venla Iida Liina;Lankinen, Venla;7;HELP HLKS/LKS
14;Lintervo;Osmo Valdemar;Lintervo, Osmo;7;HELP HLKS/LKS
15;Liu;Ville Dan Mikael;Liu, Ville;7;HELP HLKS/LKS
16;Oura;Riki;Oura, Riki;7;HELP HLKS/LKS
17;Paajanen;Anna Martta Kaarina;Paajanen, Anna;7;HELP HLKS/LKS
18;Peltonen;Miina Maria;Peltonen, Miina;7;HELP HLKS/LKS
19;Posa;Matias Juho Santeri;Posa, Matias;7;HELP HLKS/LKS
20;Rantama;Pinja Emilia;Rantama, Pinja;7;HELP HLKS/LKS
21;Salaja;Lauri Tapio;Salaja, Lauri;7;HELP HLKS/LKS
22;Särkilahti;Iiris Annikki;Särkilahti, Iiris;7;HELP HLKS/LKS
23;Takala;Sini Vuokko Sofia;Takala, Sini;7;HELP HLKS/LKS
24;Toppari;Linda Emilia;Toppari, Linda 'Toppari';7;HELP HLKS/LKS
25;Vartiainen;Heini Inkeri;Vartiainen, Heini;7;HELP HLKS/LKS
26;Weselius;Johanna Lemmikki;Weselius, Johanna 'Jonsu';7;HELP HLKS/LKS
27;Westerholm;Satu Katariina;Westerholm, Satu;7;HELP HLKS/LKS
28;Antelo;Lauri Henrik;Antelo, Lauri;10;HELP EKY/YFK
29;Haapalainen;Joonatan Thomas Viljami;Haapalainen, Joonatan;10;HELP EKY/YFK
30;Hakasalo;Santtu Matti;Hakasalo, Santtu;10;HELP EKY/YFK
31;Hintikka;Simo Johannes;Hintikka, Simo;10;HELP EKY/YFK
32;Itkonen;Laura Ilona;Itkonen, Laura;10;HELP EKY/YFK
33;Jämsä;Minnamaria Kristiina;Jämsä, Mima;10;HELP EKY/YFK
34;Järvi;Iiro Juhani;Järvi, Iiro;10;HELP EKY/YFK
35;Kallio;Aleksi Onni Oskari;Kallio, Aleksi;10;HELP EKY/YFK
36;Kankaanpää;Mari Katariina;Kankaanpää, Mari;10;HELP EKY/YFK
37;Kivistö;Kanerva Inkeri;Kivistö, Kanerva;10;HELP EKY/YFK
38;Kokko;Riikka Katriina;Kokko, Riikka;10;HELP EKY/YFK
39;Kokko;Saana Greta;Kokko, Saana;10;HELP EKY/YFK
40;Keskimäki;Sanne Maria;Keskimäki, Sanne;10;HELP EKY/YFK
41;Lahdentausta;Salla Maria Katriina;Lahdentausta, Salla;10;HELP EKY/YFK
42;Lehmus;Anniina Aino Emilia;Lehmus, Anniina;10;HELP EKY/YFK
43;Loukola;Johanna Tuulia;Loukola, Johanna;10;HELP EKY/YFK
44;Martikainen;Joanna Maria;Martikainen, Joanna;10;HELP EKY/YFK
45;Meriläinen;Henrik Tapio Aabraham;Meriläinen, Henrik;10;HELP EKY/YFK
46;Metsähuone;Viena Ella Amanda;Metsähuone, Viena;10;HELP EKY/YFK
47;Määttä;Roosa Katariina;Määttä, Roosa;10;HELP EKY/YFK
48;Niskanen;Nelli Pirita;Niskanen, Nelli;10;HELP EKY/YFK
49;Pietilä;Alexander Johannes;Pietilä, Alexander;10;HELP EKY/YFK
50;Puharinen;Jarkko Samuli;Puharinen, Jarkko;10;HELP EKY/YFK
51;Rentto;Lauri Edvard;Rentto, Lauri;10;HELP EKY/YFK
52;Saaristo;Teea Katariina;Saaristo, Teea;10;HELP EKY/YFK
53;Snellman;Sofia Aurora;Snellman, Sofia;10;HELP EKY/YFK
54;Takala;Milla Pauliina;Takala, Milla;10;HELP EKY/YFK
55;Teräväinen;Katja Eeva Elina;Teräväinen, Katja;10;HELP EKY/YFK
56;Uotila;Sandra Eila Maria;Uotila, Sandra;10;HELP EKY/YFK
57;Ahlgrén;Hilda Anniina;Ahlgrén, Hilda;17;HELP Pykälä/Codex/Justus
58;Aho;Tuomas Tapani;Aho, Tuomas;17;HELP Pykälä/Codex/Justus
59;Aila;Santeri Jaakko Matias;Aila, Santeri;17;HELP Pykälä/Codex/Justus
60;Backström;Claes-Håkan Ferdinand;Backström, Claes;17;HELP Pykälä/Codex/Justus
61;Cederberg;Joar Per Fredrik;Cederberg, Joar;17;HELP Pykälä/Codex/Justus
62;Hieta-aho;Helmi Asta Maria;Hieta-aho, Helmi;17;HELP Pykälä/Codex/Justus
63;Holm;Jonas Gustav Alexander;Holm, Jonas;17;HELP Pykälä/Codex/Justus
64;Idänpään-Heikkilä;Aurora Juliette;Idänpään-Heikkilä, Aurora;17;HELP Pykälä/Codex/Justus
65;Ilveskero;Joel Johannes;Ilveskero, Joel;17;HELP Pykälä/Codex/Justus
66;Isola;Valtteri Matias;Isola, Valtteri;17;HELP Pykälä/Codex/Justus
67;Kaarakainen;Henri Juhani;Kaarakainen, Henri;17;HELP Pykälä/Codex/Justus
68;Kettunen;Eeli Otto Olavi;Kettunen, Eeli;17;HELP Pykälä/Codex/Justus
69;Kivi-Koskinen;Anni Sofia;Kivi-Koskinen, Sofi;17;HELP Pykälä/Codex/Justus
70;Lottonen;Johannes Aleksanteri;Lottonen, Johannes;17;HELP Pykälä/Codex/Justus
