Nimi,Järjestys,Lyhenne,Ehdokkaita,Vaalirengas
Kokoomus,1,Kok.,60,Edistykselliset
Svenska Nationer och Ämnesföreningar,1,SNÄf,39,Osakunnat & Svenska Nationer och Ämnesföreningar
HELP LKS ja HLKS,1,HELP1,13,HELP
HYAL Keskustakampus,1,HYAL1,36,HYAL
Opiskelijoiden Sosialidemokraattinen Yhdistys,1,OSY,26,Maailmanpyörä
HYYn Vihreät - De Gröna vid HUS - Helsinki University Greens,2,HyVi,48,Maailmanpyörä
HYAL Viikki-Kumpula-Meikku,2,HYAL2,19,HYAL
Keskeiset,2,Kesk,8,Edistykselliset
HELP YFK ja EKY,2,HELP2,20,HELP
Osakunnat 1,2,Osak1,40,Osakunnat & Svenska Nationer och Ämnesföreningar
Sitoutumaton vasemmisto,3,Sitvas,61,Maailmanpyörä
Osakunnat 2,3,Osak2,31,Osakunnat & Svenska Nationer och Ämnesföreningar
HELP Pykälä/Codex/Justus,3,HELP3,16,HELP
