Nimi,Järjestys,Lyhenne,Ehdokkaita,Vaalirengas
Murros - konservatiiviset opiskelijat,1,Murros,11,Murros - konservatiiviset opiskelijat
Kokoomus,1,Kok,60,Edistykselliset
HYYn Vihreät - De Gröna vid HUS - UH Greens,1,HyVi,54,Maailmanpyörä
Svenska Nationer och Ämnesföreningar,1,SNÄf,36,Osakunnat & Svenska Nationer och Ämnesföreningar
Opiskelijoiden Sosialidemokraattinen Yhdistys,1,OSY,14,Opiskelijoiden Sosialidemokraattinen Yhdistys
HYAL Keskustakampus,1,HYAL 1,22,HYAL
HELP HLKS/LKS,1,HELP1,18,HELP
Osakunnat 1,2,Osak1,32,Osakunnat & Svenska Nationer och Ämnesföreningar
HELP EKY/YFK,2,HELP2,7,HELP
HYAL Viikki-Kumpula-Meikku,2,HYAL 2,24,HYAL
Keskeiset,2,Kesk,9,Edistykselliset
Sitoutumaton Vasemmisto,2,SitVas,60,Maailmanpyörä
HELP Pykälä/Codex/Justus,3,HELP3,13,HELP
Osakunnat 2,3,Osak2,21,Osakunnat & Svenska Nationer och Ämnesföreningar
